Time,BS_ID,BS_STATUS,BS_LOC_X,BS_LOC_Y,ANT_ID,ANT_SEC,TRX_ID,TRX_X,TRX_Y,TRX_ANG,UE_ID,UE_MID,UE_LOC_X,UE_LOC_Y,MAX_DR (bits),DEMAND_DR (bits),REAL_DR (bits),BS_Trans_PWR (W),UE_Rec_PWR (W),RSRP (dBm),RSSI (dBm),RSRQ (dB),DDR (%), SNR, AVTH, RET, DIST, DIST95
9,0,3,0,0,0,0,61,0.25,0.23994,56.76,38,1,2.77925,-3.81296,152,106,106,3.40192e-12,2.83494e-12,-85.4746,-54.6828,-10.7918,0,3.29695,0.59,1,4.71836,0
9,0,3,0,0,0,0,60,0.25,-0.23994,46.61,39,0,7.88005,3.1505,120,113,109,7.02977e-13,5.85814e-13,-92.3224,-61.5306,-10.7918,3.53982,-3.55089,0.57,1,8.48652,1
9,0,3,0,0,0,0,59,0.25,0.2322,33.11,40,2,0.85621,0.840776,160,144,144,2.07417e-11,1.72848e-11,-77.6234,-46.8316,-10.7918,0,11.1481,0.31,1,1.2,0
9,0,3,0,0,0,0,58,0.25,-0.2322,57.85,41,1,5.74573,-4.9502,127,83,83,9.41301e-13,7.84417e-13,-91.0545,-60.2627,-10.7918,0,-2.28302,0.67,1,7.58406,1
9,0,3,0,0,0,0,57,0.25,0.22446,38.99,42,2,1.45975,0.796533,160,125,125,1.75234e-11,1.46028e-11,-78.3556,-47.5638,-10.7918,0,10.4159,0.46,1,1.66293,0
9,0,3,0,0,0,0,56,0.25,-0.22446,44.2,43,0,3.11917,3.93722,148,45,45,2.8919e-12,2.40992e-12,-86.18,-55.3882,-10.7918,0,2.59153,0.8,1,5.02304,1
9,0,3,0,0,0,0,55,0.25,0.21672,37.43,44,1,0.935997,0.75094,160,70,70,2.07417e-11,1.72848e-11,-77.6234,-46.8316,-10.7918,0,11.1481,0.55,1,1.2,0
9,0,3,0,0,0,0,54,0.25,-0.21672,39.78,45,0,1.19795,0.0701697,160,69,59,2.07417e-11,1.72848e-11,-77.6234,-46.8316,-10.7918,14.4928,11.1481,0.56,1,1.2,0
9,0,3,0,0,0,0,53,0.25,0.20898,41.63,46,2,2.27747,0.0668093,160,152,152,1.32106e-11,1.10088e-11,-79.5826,-48.7908,-10.7918,0,9.18891,0.21,1,2.27845,0
9,0,3,0,0,0,0,52,0.25,-0.20898,41.46,47,1,4.66035,-0.296315,153,64,64,3.49283e-12,2.91069e-12,-85.36,-54.5682,-10.7918,0,3.41147,0,1,4.66976,0
9,0,3,0,0,0,0,51,0.25,0.20124,42.64,48,2,7.17502,0.162748,130,62,62,1.09186e-12,9.09881e-13,-90.4102,-59.6183,-10.7918,0,-1.63864,0.54,1,7.17686,1
9,0,3,0,0,0,0,50,0.25,-0.20124,40.23,49,2,1.19936,0.0391386,160,46,46,2.07417e-11,1.72848e-11,-77.6234,-46.8316,-10.7918,0,11.1481,0.37,1,1.2,0
